firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
GUIDANT CRM CLONMEL IRELAND,GUIDANT CRM CLONMEL IRELAND,part803_unmatched,63174,unmatched,,,,,,,
ETHICON,ETHICON,part803_unmatched,62844,unmatched,,,,,,,
"ST. JUDE MEDICAL - NEUROMODULATION (PUERTO RICO, LLC)",ST JUDE MEDICAL NEUROMODULATION PUERTO RICO,part803_maude,62638,unmatched,,,,,,,
BOSTON SCIENTIFIC NEUROMODULATION,BOSTON SCIENTIFIC NEUROMODULATION,part803_maude,61778,unmatched,,,,,,,
BAXTER HEALTHCARE SINGAPORE,BAXTER HEALTHCARE SINGAPORE,part803_unmatched,59472,unmatched,,,,,,,
MEDTRONIC NEUROMODULATION,MEDTRONIC NEUROMODULATION,part803_maude,58671,unmatched,,,,,,,
MEDTRONIC SINGAPORE OPERATIONS,MEDTRONIC SINGAPORE OPERATIONS,part803_maude,57916,unmatched,,,,,,,
ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION,part803_maude,55211,unmatched,,,,,,,
AV TEMECULA CT,AV TEMECULA CT,part803_unmatched,53736,unmatched,,,,,,,
"DEPUY ORTHOPAEDICS, INC.",DEPUY ORTHOPAEDICS,part803_maude,53639,unmatched,,,,,,,
"ST. JUDE MEDICAL, INC.(CRM-SUNNYVALE)",ST JUDE MEDICAL CRM SUNNYVALE,part803_maude,53054,unmatched,,,,,,,
NOBEL BIOCARE G TEBORG,NOBEL BIOCARE G TEBORG,part803_unmatched,52990,unmatched,,,,,,,
CPI DEL CARIBE,CPI DEL CARIBE,part803_unmatched,51210,unmatched,,,,,,,
INVACARE FLORIDA OPERATIONS,INVACARE FLORIDA OPERATIONS,part803_maude,48885,unmatched,,,,,,,
ALLERGAN COSTA RICA,ALLERGAN COSTA RICA,part803_unmatched,48067,unmatched,,,,,,,
"ST. JUDE MEDICAL, INC., CRMD",ST JUDE MEDICAL CRMD,part803_maude,47530,unmatched,,,,,,,
COVIDIEN LP LLC NORTH HAVEN,COVIDIEN NORTH HAVEN,part803_maude,47485,unmatched,,,,,,,
"C.R. BARD, INC. (COVINGTON) -1018233",C R BARD COVINGTON 1018233,part803_maude,47290,unmatched,,,,,,,
MEDTRONIC EUROPE SARL,MEDTRONIC EUROPE SARL,part803_maude,45125,unmatched,,,,,,,
CONVATEC DOMINICAN REPUBLIC INC,CONVATEC DOMINICAN REPUBLIC,part803_maude,44822,unmatched,,,,,,,
MEDTRONIC HEART VALVES DIVISION,MEDTRONIC HEART VALVES DIVISION,part803_maude,43351,unmatched,,,,,,,
BAYER PHARMA,BAYER PHARMA,part803_unmatched,42693,unmatched,,,,,,,
"C.R. BARD, INC. (BASD) -3006260740",C R BARD BASD 3006260740,part803_maude,42407,unmatched,,,,,,,
STRYKER ORTHOPAEDICS-MAHWAH,STRYKER ORTHOPAEDICS MAHWAH,part803_maude,42203,unmatched,,,,,,,
MEDTRONIC PUERTO RICO VILLALBA,MEDTRONIC PUERTO RICO VILLALBA,part803_maude,39768,unmatched,,,,,,,
FRESENIUS MEDICAL CARE NORTH AMERICA,FRESENIUS MEDICAL CARE NORTH AMERICA,part803_maude,37649,unmatched,,,,,,,
BOSTON SCIENTIFIC - GALWAY,BOSTON SCIENTIFIC GALWAY,part803_maude,37538,unmatched,,,,,,,
GE OEC MEDICAL SYSTEMS,GE OEC MEDICAL SYSTEMS,part803_unmatched,36525,unmatched,,,,,,,
"DEPUY ORTHOPAEDICS, INC. 1818910",DEPUY ORTHOPAEDICS 1818910,part803_maude,35256,unmatched,,,,,,,
BIOMET ORTHOPEDICS,BIOMET ORTHOPEDICS,part803_maude,34430,unmatched,,,,,,,
BAXTER HEALTHCARE MOUNTAIN HOME,BAXTER HEALTHCARE MOUNTAIN HOME,part803_unmatched,33624,unmatched,,,,,,,
GE OEC MEDICAL SYSTEMS SLC,GE OEC MEDICAL SYSTEMS SLC,part803_unmatched,31861,unmatched,,,,,,,
BIOTRONIK SE AND KG,BIOTRONIK SE AND KG,part803_unmatched,31585,unmatched,,,,,,,
"MEDTRONIC MED REL, INC.",MEDTRONIC MED REL,part803_maude,31021,unmatched,,,,,,,
ROCHE DIABETES CARE,ROCHE DIABETES CARE,part803_unmatched,30879,unmatched,,,,,,,
SYNTHES,SYNTHES,part803_unmatched,30494,unmatched,,,,,,,
STRYKER INSTRUMENTS-KALAMAZOO,STRYKER INSTRUMENTS KALAMAZOO,part803_maude,29459,unmatched,,,,,,,
STRYKER MEDICAL-KALAMAZOO,STRYKER MEDICAL KALAMAZOO,part803_maude,29166,unmatched,,,,,,,
ETHICON ENDO SURGERY CINCINNATI,ETHICON ENDO SURGERY CINCINNATI,part803_unmatched,28802,unmatched,,,,,,,
CYBERONICS,CYBERONICS,part803_unmatched,28159,unmatched,,,,,,,
"RESPIRONICS CALIFORNIA, INC",RESPIRONICS CALIFORNIA,part803_maude,27525,unmatched,,,,,,,
BOSTON SCIENTIFIC - MAPLE GROVE,BOSTON SCIENTIFIC MAPLE GROVE,part803_maude,26804,unmatched,,,,,,,
STRYKER MEDICAL,STRYKER MEDICAL,part803_maude,26310,unmatched,,,,,,,
INVACARE TAYLOR STREET,INVACARE TAYLOR STREET,part803_maude,25616,unmatched,,,,,,,
BOSTON SCIENTIFIC - MARLBOROUGH,BOSTON SCIENTIFIC MARLBOROUGH,part803_maude,25574,unmatched,,,,,,,
DAVOL SUB C R BARD,DAVOL SUB C R BARD,part803_unmatched,25116,unmatched,,,,,,,
"MEDTRONIC NAVIGATION, INC",MEDTRONIC NAVIGATION,part803_maude,25090,unmatched,,,,,,,
DEPUY SYNTHES POWER TOOLS,DEPUY SYNTHES POWER TOOLS,part803_unmatched,23236,unmatched,,,,,,,
SMITHS MEDICAL ASD,SMITHS MEDICAL ASD,part803_unmatched,22765,unmatched,,,,,,,
UNITED STATES SURGICAL,UNITED STATES SURGICAL,part803_unmatched,22255,unmatched,,,,,,,
OLYMPUS MEDICAL SYSTEMS,OLYMPUS MEDICAL SYSTEMS,part803_unmatched,22031,unmatched,,,,,,,
DEPUY 8010379,DEPUY 8010379,part803_unmatched,21785,unmatched,,,,,,,
MDT PUERTO RICO OPERATIONS,MDT PUERTO RICO OPERATIONS,part803_unmatched,21242,unmatched,,,,,,,
BARD PERIPHERAL VASCULAR,BARD PERIPHERAL VASCULAR,part803_unmatched,20425,unmatched,,,,,,,
"MEDTRONIC SOFAMOR DANEK USA, INC",MEDTRONIC SOFAMOR DANEK,part803_maude,20423,unmatched,,,,,,,
HILL-ROM RITTER,HILL ROM RITTER,part803_maude,20057,unmatched,,,,,,,
BOSTON SCIENTIFIC NEUROMODULATION CORPORATION,BOSTON SCIENTIFIC NEUROMODULATION,part803_maude,19324,unmatched,,,,,,,
NEODENT JJGC S A,NEODENT JJGC S A,part803_unmatched,19226,unmatched,,,,,,,
DEPUY IRELAND 9616671,DEPUY IRELAND 9616671,part803_unmatched,19139,unmatched,,,,,,,
BAXTER HEALTHCARE LARGO,BAXTER HEALTHCARE LARGO,part803_unmatched,18947,unmatched,,,,,,,
BIOMET 3I,BIOMET 3I,part803_maude,18760,unmatched,,,,,,,
SURGICAL PUERTO RICO,SURGICAL PUERTO RICO,part803_unmatched,18034,unmatched,,,,,,,
ABBOTT VASCULAR,ABBOTT VASCULAR,part803_unmatched,17963,unmatched,,,,,,,
BARD ACCESS SYSTEMS,BARD ACCESS SYSTEMS,part803_unmatched,17398,unmatched,,,,,,,
"BECTON, DICKINSON AND COMPANY (BD)",BECTON DICKINSON AND BD,part803_maude,16642,unmatched,,,,,,,
TERUMO CARDIOVASCULAR SYSTEMS,TERUMO CARDIOVASCULAR SYSTEMS,part803_unmatched,16109,unmatched,,,,,,,
ALCON RESEARCH HUNTINGTON,ALCON RESEARCH HUNTINGTON,part803_unmatched,16009,unmatched,,,,,,,
HOSPIRA COSTA RICA LTD.,HOSPIRA COSTA RICA,part803_maude,15673,unmatched,,,,,,,
CORDIS DE MEXICO,CORDIS DE MEXICO,part803_maude,15476,unmatched,,,,,,,
W L GORE AND ASSOCIATES,W L GORE AND ASSOCIATES,part803_unmatched,15424,unmatched,,,,,,,
DATASCOPE CORP. - MAHWAH,DATASCOPE MAHWAH,part803_maude,15289,unmatched,,,,,,,
BAXTER HEALTHCARE IRVINE,BAXTER HEALTHCARE IRVINE,part803_unmatched,15251,unmatched,,,,,,,
DATEX OHMEDA,DATEX OHMEDA,part803_unmatched,15071,unmatched,,,,,,,
ABBOTT MEDICAL OPTICS,ABBOTT MEDICAL OPTICS,part803_unmatched,14407,unmatched,,,,,,,
COVIDIEN MFG DC BOULDER,COVIDIEN MFG DC BOULDER,part803_maude,14148,unmatched,,,,,,,
STRYKER INSTRUMENTS-A DIVISION OF STRYKER CORP,STRYKER INSTRUMENTS A DIVISION OF STRYKER,part803_maude,13635,unmatched,,,,,,,
DEPUY SYNTHES PRODUCTS,DEPUY SYNTHES PRODUCTS,part803_unmatched,13499,unmatched,,,,,,,
WRIGHTS LANE SYNTHES PRODUCTS,WRIGHTS LANE SYNTHES PRODUCTS,part803_unmatched,13258,unmatched,,,,,,,
JJGC S A,JJGC S A,part803_unmatched,13222,unmatched,,,,,,,
DEPUY MITEK,DEPUY MITEK,part803_unmatched,13023,unmatched,,,,,,,
ALCON RESEARCH IRVINE TECHNOLOGY CENTER,ALCON RESEARCH IRVINE TECHNOLOGY CENTER,part803_unmatched,12922,unmatched,,,,,,,
IPG MFG SWITZERLAND,IPG MFG SWITZERLAND,part803_unmatched,12808,unmatched,,,,,,,
STRYKER ENDOSCOPY-SAN JOSE,STRYKER ENDOSCOPY SAN JOSE,part803_maude,12660,unmatched,,,,,,,
ADVANCED BIONICS,ADVANCED BIONICS,part803_unmatched,12603,unmatched,,,,,,,
"BECTON, DICKINSON & CO., (BD)",BECTON DICKINSON AND BD,part803_maude,12552,unmatched,,,,,,,
MEDTRONIC XOMED INC.,MEDTRONIC XOMED,part803_maude,12461,unmatched,,,,,,,
C.R. BARD INC. (COVINGTON) -1018233,C R BARD COVINGTON 1018233,part803_maude,12366,unmatched,,,,,,,
OBERDORF SYNTHES PRODUKTIONS,OBERDORF SYNTHES PRODUKTIONS,part803_unmatched,12342,unmatched,,,,,,,
DENTSPLY IMPLANTS MANUFACTURING,DENTSPLY IMPLANTS MANUFACTURING,part803_unmatched,12280,unmatched,,,,,,,
DISETRONIC MEDICAL SYSTEMS,DISETRONIC MEDICAL SYSTEMS,part803_unmatched,12203,unmatched,,,,,,,
STRYKER INSTRUMENTS KALAMAZOO,STRYKER INSTRUMENTS KALAMAZOO,part803_maude,11965,unmatched,,,,,,,
BECTON DICKINSON,BECTON DICKINSON,part803_unmatched,11804,unmatched,,,,,,,
MDT PUERTO RICO OPERATIONS JUNCOS,MDT PUERTO RICO OPERATIONS JUNCOS,part803_unmatched,11164,unmatched,,,,,,,
SIEMENS HEALTHCARE DIAGNOSTICS INC.,SIEMENS HEALTHCARE DIAGNOSTICS,part803_maude,11013,unmatched,,,,,,,
IMPLANT DIRECT SYBRON MANUFACTURING,IMPLANT DIRECT SYBRON MANUFACTURING,part803_unmatched,11011,unmatched,,,,,,,
BOSTON SCIENTIFIC - SPENCER,BOSTON SCIENTIFIC SPENCER,part803_maude,11000,unmatched,,,,,,,
MEDTRONIC S.A.,MEDTRONIC S A,part803_maude,10690,unmatched,,,,,,,
MEDTRONIC PUERTO RICO OPERATIONS MED-REL,MEDTRONIC PUERTO RICO OPERATIONS MED REL,part803_maude,10678,unmatched,,,,,,,
BAXTER HEALTHCARE SG,BAXTER HEALTHCARE SG,part803_unmatched,10371,unmatched,,,,,,,
BIOHORIZONS IMPLANT SYSTEMS,BIOHORIZONS IMPLANT SYSTEMS,part803_unmatched,10090,unmatched,,,,,,,
"JOHNSON & JOHNSON SURGICAL VISION, INC.",JOHNSON AND JOHNSON SURGICAL VISION,part803_maude,9991,unmatched,,,,,,,
MAQUET CARDIOVASCULAR,MAQUET CARDIOVASCULAR,part803_unmatched,9945,unmatched,,,,,,,
BIOMET UK LTD.,BIOMET UK,part803_maude,9935,unmatched,,,,,,,
"BECTON, DICKINSON & CO. (BROKEN BOW)",BECTON DICKINSON AND BROKEN BOW,part803_maude,9916,unmatched,,,,,,,
AGFA HEALTHCARE,AGFA HEALTHCARE,part803_unmatched,9753,unmatched,,,,,,,
ENCORE MEDICAL L P,ENCORE MEDICAL L P,part803_unmatched,9716,unmatched,,,,,,,
BAXTER HEALTHCARE MEDINA,BAXTER HEALTHCARE MEDINA,part803_unmatched,9548,unmatched,,,,,,,
BAYER HEALTHCARE,BAYER HEALTHCARE,part803_unmatched,9423,unmatched,,,,,,,
MEDTRONIC CRYOCATH LP,MEDTRONIC CRYOCATH,part803_maude,9420,unmatched,,,,,,,
SOFRADIM PRODUCTION SAS,SOFRADIM PRODUCTION SAS,part803_unmatched,9249,unmatched,,,,,,,
SMITH & NEPHEW MEDICAL LTD.,SMITH AND NEPHEW MEDICAL,part803_maude,9231,unmatched,,,,,,,
MEDTRONIC MEXICO S. DE R.L. DE CV,MEDTRONIC MEXICO S DE R L DE CV,part803_maude,9217,unmatched,,,,,,,
WAVELIGHT,WAVELIGHT,part803_unmatched,9216,unmatched,,,,,,,
ABBOTT,ABBOTT,part803_unmatched,9211,unmatched,,,,,,,
ANTHOGYR,ANTHOGYR,part803_unmatched,9172,unmatched,,,,,,,
CONCORD MANUFACTURING,CONCORD MANUFACTURING,part803_unmatched,9149,unmatched,,,,,,,
"ABIOMED, INC. - 1220648",ABIOMED 1220648,part803_maude,9079,unmatched,,,,,,,
MED EL ELEKTROMEDIZINISCHE GERAETE,MED EL ELEKTROMEDIZINISCHE GERAETE,part803_unmatched,9046,unmatched,,,,,,,
WILLIAM COOK EUROPE,WILLIAM COOK EUROPE,part803_unmatched,9041,unmatched,,,,,,,
"MEDTRONIC NAVIGATION, INC. (LITTLETON)",MEDTRONIC NAVIGATION LITTLETON,part803_maude,9007,unmatched,,,,,,,
CAREFUSION 303,CAREFUSION 303,part803_unmatched,8879,unmatched,,,,,,,
"MEDTRONIC NAVIGATION, INC.",MEDTRONIC NAVIGATION,part803_maude,8765,unmatched,,,,,,,
ALCON IRVINE TECHNOLOGY CENTER,ALCON IRVINE TECHNOLOGY CENTER,part803_unmatched,8749,unmatched,,,,,,,
"ALERE SAN DIEGO, INC.",ALERE SAN DIEGO,part803_maude,8683,unmatched,,,,,,,
"MEDTRONIC NAVIGATION, INC (LITTLETON)",MEDTRONIC NAVIGATION LITTLETON,part803_maude,8655,unmatched,,,,,,,
ZOLL LIFECOR,ZOLL LIFECOR,part803_unmatched,8546,unmatched,,,,,,,
"MEDTRONIC NAVIGATION, INC. (LOUISVILLE)",MEDTRONIC NAVIGATION LOUISVILLE,part803_maude,8331,unmatched,,,,,,,
BIOMET MICROFIXATION,BIOMET MICROFIXATION,part803_maude,8261,unmatched,,,,,,,
STRYKER ORTHOPAEDICS MAHWAH,STRYKER ORTHOPAEDICS MAHWAH,part803_maude,8201,unmatched,,,,,,,
"ICU MEDICAL DE MEXICO, S. DE R.L. DE C.V.",ICU MEDICAL DE MEXICO S DE R L DE C V,part803_maude,7996,unmatched,,,,,,,
MEDTRONIC NEUROSURGERY,MEDTRONIC NEUROSURGERY,part803_maude,7937,unmatched,,,,,,,
ARTHREX,ARTHREX,part803_unmatched,7923,unmatched,,,,,,,
STRYKER TRAUMA KIEL,STRYKER TRAUMA KIEL,part803_maude,7824,unmatched,,,,,,,
DAVIS AND GECK CARIBE,DAVIS AND GECK CARIBE,part803_unmatched,7713,unmatched,,,,,,,
BOSTON SCIENTIFIC - COSTA RICA (COYOL),BOSTON SCIENTIFIC COSTA RICA COYOL,part803_maude,7680,unmatched,,,,,,,
APPLIED MEDICAL RESOURCES,APPLIED MEDICAL RESOURCES,part803_maude,7636,unmatched,,,,,,,
"BECTON, DICKINSON & CO. (SPARKS)",BECTON DICKINSON AND SPARKS,part803_maude,7541,unmatched,,,,,,,
MICROPORT ORTHOPEDICS,MICROPORT ORTHOPEDICS,part803_unmatched,7458,unmatched,,,,,,,
MEDIVANCE 1725056,MEDIVANCE 1725056,part803_unmatched,7224,unmatched,,,,,,,
BOSTON SCIENTIFIC - CORK,BOSTON SCIENTIFIC CORK,part803_maude,6977,unmatched,,,,,,,
HILL-ROM BATESVILLE,HILL ROM BATESVILLE,part803_maude,6922,unmatched,,,,,,,
MAQUET CRITICAL CARE,MAQUET CRITICAL CARE,part803_unmatched,6902,unmatched,,,,,,,
WRIGHT MEDICAL TECHNOLOGY,WRIGHT MEDICAL TECHNOLOGY,part803_unmatched,6833,unmatched,,,,,,,
UNKNOWN,UNKNOWN,part803_unmatched,6822,unmatched,,,,,,,
ABBOTT MANUFACTURING,ABBOTT MANUFACTURING,part803_unmatched,6821,unmatched,,,,,,,
HEARTSINE TECHNOLOGIES,HEARTSINE TECHNOLOGIES,part803_unmatched,6752,unmatched,,,,,,,
AIZU OLYMPUS,AIZU OLYMPUS,part803_unmatched,6699,unmatched,,,,,,,
STRYKER NEUROVASCULAR CORK,STRYKER NEUROVASCULAR CORK,part803_maude,6685,unmatched,,,,,,,
SYNTHES OBERDORF,SYNTHES OBERDORF,part803_unmatched,6592,unmatched,,,,,,,
TRIVIDIA HEALTH,TRIVIDIA HEALTH,part803_unmatched,6409,unmatched,,,,,,,
ABBOTT MEDICAL,ABBOTT MEDICAL,part803_unmatched,6397,unmatched,,,,,,,
ABBOTT VASCULAR CARDIAC THERAPIES,ABBOTT VASCULAR CARDIAC THERAPIES,part803_unmatched,6387,unmatched,,,,,,,
MEDTRONIC MEXICO,MEDTRONIC MEXICO,part803_maude,6360,unmatched,,,,,,,
ERIKA DE REYNOSA S A DE C V,ERIKA DE REYNOSA S A DE C V,part803_unmatched,6350,unmatched,,,,,,,
RICE CREEK MANUFACTURING,RICE CREEK MANUFACTURING,part803_unmatched,6295,unmatched,,,,,,,
COVIDIEN SURGICAL,COVIDIEN SURGICAL,part803_maude,6271,unmatched,,,,,,,
BECTON DICKINSON & CO. (SPARKS),BECTON DICKINSON AND SPARKS,part803_maude,6251,unmatched,,,,,,,
LIVANOVA DEUTSCHLAND,LIVANOVA DEUTSCHLAND,part803_maude,6239,unmatched,,,,,,,
ZOLL CIRCULATION,ZOLL CIRCULATION,part803_unmatched,6121,unmatched,,,,,,,
"MEDTRONIC MILACA, INC.",MEDTRONIC MILACA,part803_maude,6065,unmatched,,,,,,,
ATRIUM MEDICAL CORPORATION,ATRIUM MEDICAL,part803_maude,6017,unmatched,,,,,,,
VYAIRE MEDICAL,VYAIRE MEDICAL,part803_unmatched,5971,unmatched,,,,,,,
SYNTHES MONUMENT,SYNTHES MONUMENT,part803_unmatched,5962,unmatched,,,,,,,
BECTON DICKINSON INFUSION THERAPY SYSTEMS,BECTON DICKINSON INFUSION THERAPY SYSTEMS,part803_unmatched,5917,unmatched,,,,,,,
ROCHE INSULIN DELIVERY SYSTEMS,ROCHE INSULIN DELIVERY SYSTEMS,part803_unmatched,5909,unmatched,,,,,,,
"RESPIRONICS CALIFORNIA, INC.",RESPIRONICS CALIFORNIA,part803_maude,5874,unmatched,,,,,,,
MEDACTA,MEDACTA,part803_unmatched,5799,unmatched,,,,,,,
CORDIS LLC (PR),CORDIS PR,part803_maude,5760,unmatched,,,,,,,
INTEGRA LIFESCIENCES CORPORATION OH/USA,INTEGRA LIFESCIENCES OH,part803_maude,5660,unmatched,,,,,,,
COCHLEAR BONE ANCHORED SOLUTIONS,COCHLEAR BONE ANCHORED SOLUTIONS,part803_unmatched,5624,unmatched,,,,,,,
"C.R. BARD, INC. (COVINGTON)",C R BARD COVINGTON,part803_maude,5619,unmatched,,,,,,,
TERUMO MEDICAL,TERUMO MEDICAL,part803_unmatched,5616,unmatched,,,,,,,
BIOSENSE WEBSTER,BIOSENSE WEBSTER,part803_unmatched,5594,unmatched,,,,,,,
PHYSIO CONTROL 3015876,PHYSIO CONTROL 3015876,part803_unmatched,5393,unmatched,,,,,,,
ABBOTT VASCULAR REDWOOD CITY,ABBOTT VASCULAR REDWOOD CITY,part803_unmatched,5346,unmatched,,,,,,,
"ST. JUDE MEDICAL, INC. (CRM-KISTA)",ST JUDE MEDICAL CRM KISTA,part803_maude,5323,unmatched,,,,,,,
BAXTER HEALTHCARE CLEVELAND,BAXTER HEALTHCARE CLEVELAND,part803_unmatched,5316,unmatched,,,,,,,
THOMMEN MEDICAL,THOMMEN MEDICAL,part803_unmatched,5246,unmatched,,,,,,,
DEPUY FRANCE SAS 3003895575,DEPUY FRANCE SAS 3003895575,part803_unmatched,5237,unmatched,,,,,,,
ADVANCED STERILIZATION PRODUCTS,ADVANCED STERILIZATION PRODUCTS,part803_unmatched,5235,unmatched,,,,,,,
SMITH & NEPHEW ORTHOPAEDICS LTD,SMITH AND NEPHEW ORTHOPAEDICS,part803_maude,5209,unmatched,,,,,,,
DEPUY WARSAW,DEPUY WARSAW,part803_unmatched,5198,unmatched,,,,,,,
ETHICON ENDO SURGERY ALB,ETHICON ENDO SURGERY ALB,part803_unmatched,5133,unmatched,,,,,,,
GUIDANT CARDIAC SURGERY,GUIDANT CARDIAC SURGERY,part803_unmatched,5127,unmatched,,,,,,,
"RESPIRONICS CALIFORNIA, LLC",RESPIRONICS CALIFORNIA,part803_maude,5061,unmatched,,,,,,,
ZIMMER SURGICAL,ZIMMER SURGICAL,part803_unmatched,5055,unmatched,,,,,,,
STRYKER ORTHOPAEDICS CORK,STRYKER ORTHOPAEDICS CORK,part803_maude,5035,unmatched,,,,,,,
"SIEMENS HEALTHCARE DIAGNOSTICS, INC.",SIEMENS HEALTHCARE DIAGNOSTICS,part803_maude,5032,unmatched,,,,,,,
B BRAUN MEDICAL,B BRAUN MEDICAL,part803_unmatched,4988,unmatched,,,,,,,
PLEXUS MANUFACTURING SDN BHD,PLEXUS MANUFACTURING SDN BHD,part803_unmatched,4850,unmatched,,,,,,,
PONCE USS,PONCE USS,part803_unmatched,4848,unmatched,,,,,,,
ALCON LABORATORIES HUNTINGTON,ALCON LABORATORIES HUNTINGTON,part803_unmatched,4798,unmatched,,,,,,,
CORDIS CASHEL,CORDIS CASHEL,part803_maude,4718,unmatched,,,,,,,
MEDTRONIC MILACA INC.,MEDTRONIC MILACA,part803_maude,4657,unmatched,,,,,,,
ALLERGAN PRINGY,ALLERGAN PRINGY,part803_unmatched,4643,unmatched,,,,,,,
CODMAN AND SHURTLEFF,CODMAN AND SHURTLEFF,part803_unmatched,4618,unmatched,,,,,,,
ZIMMER DENTAL,ZIMMER DENTAL,part803_unmatched,4590,unmatched,,,,,,,
MIS IMPLANTS TECHNOLOGIES,MIS IMPLANTS TECHNOLOGIES,part803_unmatched,4561,unmatched,,,,,,,
NORTH HAVEN USS,NORTH HAVEN USS,part803_unmatched,4560,unmatched,,,,,,,
INVAMEX,INVAMEX,part803_unmatched,4531,unmatched,,,,,,,
PHILIPS HEALTHCARE,PHILIPS HEALTHCARE,part803_unmatched,4469,unmatched,,,,,,,
MEDTRONIC SOFAMOR DANEK,MEDTRONIC SOFAMOR DANEK,part803_maude,4416,unmatched,,,,,,,
BAXTER HEALTHCARE AIBONITO,BAXTER HEALTHCARE AIBONITO,part803_unmatched,4410,unmatched,,,,,,,
COOK ENDOSCOPY,COOK ENDOSCOPY,part803_unmatched,4363,unmatched,,,,,,,
TOSOH,TOSOH,part803_unmatched,4357,unmatched,,,,,,,
"DEPUY ORTHOPAEDICS, INC. 1818910 ",DEPUY ORTHOPAEDICS 1818910,part803_maude,4349,unmatched,,,,,,,
DAVOL SUB C R BARD 1213643,DAVOL SUB C R BARD 1213643,part803_unmatched,4347,unmatched,,,,,,,
INVACARE SUZHOU,INVACARE SUZHOU,part803_maude,4329,unmatched,,,,,,,
ICU MEDICAL COSTA RICA LTD.,ICU MEDICAL COSTA RICA,part803_maude,4323,unmatched,,,,,,,
AMERICAN MEDICAL SYSTEMS SAN JOSE,AMERICAN MEDICAL SYSTEMS SAN JOSE,part803_unmatched,4291,unmatched,,,,,,,
SHIRAKAWA OLYMPUS,SHIRAKAWA OLYMPUS,part803_unmatched,4262,unmatched,,,,,,,
MAQUET CV,MAQUET CV,part803_unmatched,4251,unmatched,,,,,,,
HOYA PENTAX TOKYO OFFICE,HOYA PENTAX TOKYO OFFICE,part803_unmatched,4227,unmatched,,,,,,,
BIOTRONIK AND,BIOTRONIK AND,part803_unmatched,4206,unmatched,,,,,,,
ALTATEC,ALTATEC,part803_unmatched,4108,unmatched,,,,,,,
FRESENIUS VIAL S.A.S.,FRESENIUS VIAL S A S,part803_maude,4062,unmatched,,,,,,,
HAMILTON BONADUZ,HAMILTON BONADUZ,part803_unmatched,4055,unmatched,,,,,,,
"EDWARDS LIFESCIENCES, PR",EDWARDS LIFESCIENCES PR,part803_maude,4055,unmatched,,,,,,,
MEDTRONIC CARDIOVASCULAR,MEDTRONIC CARDIOVASCULAR,part803_maude,4041,unmatched,,,,,,,
DATASCOPE CORP. - FAIRFIELD,DATASCOPE FAIRFIELD,part803_maude,4032,unmatched,,,,,,,
GUIDANT VASCULAR INTERVENTION,GUIDANT VASCULAR INTERVENTION,part803_unmatched,4027,unmatched,,,,,,,
