company_name_fda,normalized_name,match_status,gvkey,company_name_compustat,n_gvkey_candidates,review_suggested,n_letters,first_letter_date,last_letter_date,any_device_letter,any_drug_letter,any_biologic_letter,any_medtech_pharma,product_types,match_source,valid_from_year,valid_to_year,match_note
Abbott Laboratories,ABBOTT LABORATORIES,matched,001078,ABBOTT LABORATORIES,1,False,2,2009-07-14,2023-10-24,False,True,True,True,Biologics; Drugs,exact_normalized,1900,2099,
"Abiomed, Inc.",ABIOMED,matched,013619,ABIOMED INC,1,False,2,2011-06-10,2023-09-19,True,False,False,True,Devices,exact_normalized,1900,2099,
Accentia BioPharmaceuticals,ACCENTIA BIOPHARMACEUTICALS,matched,162956,ACCENTIA BIOPHARMACEUTICALS,1,False,1,2009-11-13,2009-11-13,False,True,False,True,Drugs,exact_normalized,1900,2099,
"Acclarent, Inc.",ACCLARENT,matched,180230,ACCLARENT INC -REDH,1,False,2,2012-06-14,2013-03-20,True,False,False,True,Devices,exact_normalized,1900,2099,
Acme United Corporation,ACME UNITED,matched,001104,ACME UNITED CORP,1,False,1,2025-10-10,2025-10-10,False,True,False,True,Drugs,exact_normalized,1900,2099,
"Acorda Therapeutics, Inc.",ACORDA THERAPEUTICS,matched,156617,ACORDA THERAPEUTICS INC,1,False,2,2012-05-10,2013-07-25,False,True,False,True,Drugs,exact_normalized,1900,2099,
Adamis Pharmaceuticals,ADAMIS PHARMACEUTICALS,resolved_unlisted_parent,,,1,False,1,2010-06-09,2010-06-09,False,True,False,True,Drugs,ct_override_windowed,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 20042 (ADAMAS PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED
Advanced Magnetic Research Institute International LLC,ADVANCED MAGNETIC RESEARCH INSTITUTE,resolved_unlisted_parent,,,1,False,1,2014-01-16,2014-01-16,True,False,False,True,Devices,ct_override_windowed,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED
"Advanced Surgical Design & Manufacture, Ltd.",ADVANCED SURGICAL DESIGN AND MANUFACTURE,matched,028687,ADVANCED SURGICAL INC,1,True,2,2010-12-01,2012-02-01,True,False,False,True,Devices,parent_prefix,1900,2099,parent prefix: ADVANCED SURGICAL
Agilent Technologies Denmark ApS,AGILENT TECHNOLOGIES DENMARK APS,matched,126554,AGILENT TECHNOLOGIES INC,1,True,1,2013-08-29,2013-08-29,True,False,False,True,Devices,parent_prefix,1900,2099,parent prefix: AGILENT TECHNOLOGIES
"Airgas USA, LLC",AIRGAS,matched,012950,AIRGAS INC,1,False,1,2010-12-01,2010-12-01,False,True,False,True,Drugs,exact_normalized,1900,2099,
"Akers Biosciences, Inc.",AKERS BIOSCIENCES,matched,275264,AKERS BIOSCIENCES INC,1,False,1,2011-10-04,2011-10-04,False,False,True,True,Biologics,exact_normalized,1900,2099,
Akorn Operating Company LLC,AKORN OPERATING,matched,014304,AKORN OPERATING COMPANY LLC,1,False,1,2019-06-13,2019-06-13,False,True,False,True,Drugs,exact_normalized,1900,2099,
"Akorn, Inc.",AKORN,matched,014304,AKORN OPERATING COMPANY LLC,1,False,2,2012-10-02,2012-10-02,False,True,False,True,Drugs,ct_fuzzy,1900,2099,"CT crosswalk (fuzzy_extended, score 100)"
"Alcon LenSx, Inc.",ALCON LENSX,matched,035056,ALCON INC,1,False,1,2012-12-03,2012-12-03,True,False,False,True,Devices,ct_dropped_device,1900,2099,CT device-sponsor list (conm: ALCON INC)
"Alere San Diego, Inc.",ALERE SAN DIEGO,matched,146156,ALERE INC,1,False,1,2012-10-10,2012-10-10,True,False,False,True,Devices,ct_fuzzy,1900,2099,"CT crosswalk (fuzzy_extended, score 100)"
"Alexion Pharmaceuticals, Inc.",ALEXION PHARMACEUTICALS,matched,062263,ALEXION PHARMACEUTICALS INC,1,False,1,2013-03-22,2013-03-22,False,True,False,True,Drugs,ct_override_windowed,1900,2099,"Alexion (ALXN, CIK 899866); acquired by AstraZeneca 2021 -- pre-acquisition gvkey"
Align Technology Inc,ALIGN TECHNOLOGY,matched,141384,ALIGN TECHNOLOGY INC,1,False,1,2010-11-17,2010-11-17,True,False,False,True,Devices,exact_normalized,1900,2099,
"Alkermes, Inc.",ALKERMES,matched,024302,ALKERMES PLC,1,True,1,2019-12-02,2019-12-02,False,True,False,True,Drugs,exact_normalized,1900,2099,
All American Wellness LLC,ALL AMERICAN WELLNESS,matched,003126,ALL AMERICAN GROUP INC,1,True,1,2025-09-09,2025-09-09,False,True,False,True,Drugs,parent_prefix,1900,2099,parent prefix: ALL AMERICAN
"Alma Lasers, Inc.",ALMA LASERS,matched,179436,ALMA LASERS LTD-REDH,1,True,1,2013-06-07,2013-06-07,True,False,False,True,Devices,exact_normalized,1900,2099,
"Alphatec Spine, Inc.",ALPHATEC SPINE,matched,166555,ALPHATEC HOLDINGS INC,1,False,3,2010-06-21,2015-07-16,True,False,False,True,Devices,ct_dropped_device,1900,2099,CT device-sponsor list (conm: ALPHATEC HOLDINGS INC)
Amazon.com,AMAZON COM,matched,064768,AMAZON.COM INC,1,False,3,2022-10-28,2023-11-13,False,True,False,True,Drugs,exact_normalized,1900,2099,
"Amazon.com, Inc.",AMAZON COM,matched,064768,AMAZON.COM INC,1,False,9,2022-08-04,2026-06-17,False,True,False,True,Drugs,exact_normalized,1900,2099,
"Amazon.com, LLC",AMAZON COM,matched,064768,AMAZON.COM INC,1,False,1,2025-03-03,2025-03-03,False,True,False,True,Drugs,exact_normalized,1900,2099,
American CryoStem Corporation,AMERICAN CRYOSTEM,matched,187449,AMERICAN CRYOSTEM CORP,1,False,1,2018-01-03,2018-01-03,False,False,True,True,Biologics,exact_normalized,1900,2099,
"Amgen, Inc.",AMGEN,matched,001602,AMGEN INC,1,False,1,2014-01-27,2014-01-27,False,True,False,True,Drugs,exact_normalized,1900,2099,
Amneal Pharmaceuticals Private Limited,AMNEAL PHARMACEUTICALS PRIVATE,matched,018888,AMNEAL PHARMACEUTICALS INC,1,True,1,2025-08-27,2025-08-27,False,True,False,True,Drugs,parent_prefix,1900,2099,parent prefix: AMNEAL PHARMACEUTICALS
"AngioDynamics, Inc.",ANGIODYNAMICS,matched,264387,ANGIODYNAMICS INC,1,False,1,2014-11-04,2014-11-04,True,False,False,True,Devices,exact_normalized,1900,2099,
Angiodynamics Inc,ANGIODYNAMICS,matched,264387,ANGIODYNAMICS INC,1,False,1,2014-11-04,2014-11-04,True,False,False,True,Devices,exact_normalized,1900,2099,
"Angiodynamics, Inc.",ANGIODYNAMICS,matched,264387,ANGIODYNAMICS INC,1,False,2,2011-01-21,2011-05-27,True,False,False,True,Devices,exact_normalized,1900,2099,
Animas Corporation,ANIMAS,matched,260892,ANIMAS CORP,1,False,1,2011-12-27,2011-12-27,True,False,False,True,Devices,exact_normalized,1900,2099,
Applied Medical Resources Corp,APPLIED MEDICAL RESOURCES,matched,170683,APPLIED MEDICAL CORP  -REDH,1,True,1,2015-04-10,2015-04-10,True,False,False,True,Devices,parent_prefix,1900,2099,parent prefix: APPLIED MEDICAL
Applied Medical Technology Inc,APPLIED MEDICAL TECHNOLOGY,matched,170683,APPLIED MEDICAL CORP  -REDH,1,True,1,2011-06-08,2011-06-08,True,False,False,True,Devices,parent_prefix,1900,2099,parent prefix: APPLIED MEDICAL
"Applied Therapeutics, Inc.",APPLIED THERAPEUTICS,matched,035091,APPLIED THERAPEUTICS INC,1,False,1,2024-11-27,2024-11-27,False,True,False,True,Drugs,exact_normalized,1900,2099,
Arrayit Corporation,ARRAYIT,matched,143339,ARRAYIT CORP,1,False,1,2020-08-18,2020-08-18,True,False,False,True,Devices,exact_normalized,1900,2099,
"Artivion, Inc",ARTIVION,matched,027823,ARTIVION INC,1,False,1,2013-01-29,2013-01-29,True,False,False,True,Devices,exact_normalized,1900,2099,
Asahi Kasei Medical MT Corp. Oita Works,ASAHI KASEI MEDICAL MT OITA WORKS,matched,100258,ASAHI KASEI CORP,1,True,1,2013-06-11,2013-06-11,True,False,False,True,Devices,parent_prefix,1900,2099,parent prefix: ASAHI KASEI
"Atrium, Inc.",ATRIUM,matched,137170,ATRIUM CO INC,1,False,1,2012-11-02,2012-11-02,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
"Avanos Medical, Inc.",AVANOS MEDICAL,matched,021352,AVANOS MEDICAL INC,1,False,2,2008-12-22,2013-04-10,True,False,False,True,Devices,exact_normalized,1900,2099,
BABYLON INC,BABYLON,matched,039938,BABYLON HOLDINGS LTD,1,True,1,2020-09-04,2020-09-04,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
BHP Holdings Inc,BHP,matched,013312,BHP GROUP LTD,1,True,1,2020-06-02,2020-06-02,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
Balchem Corporation,BALCHEM,matched,001979,BALCHEM CORP  -CL B,1,False,1,2009-12-22,2009-12-22,False,True,False,True,Drugs,exact_normalized,1900,2099,
Bausch & Lomb Incorporated,BAUSCH AND LOMB,matched,002085,BAUSCH & LOMB HLDGS  -REDH,1,False,4,2010-03-10,2012-10-02,False,True,False,True,Drugs,ct_override_windowed,1900,2007,Bausch & Lomb pre-J&J era
Bausch & Lomb Incorporated,BAUSCH AND LOMB,matched,040605,BAUSCH & LOMB CORP,1,False,4,2010-03-10,2012-10-02,False,True,False,True,Drugs,ct_override_windowed,2022,2099,Bausch & Lomb post-spinoff
"Bausch Health Americas, Inc.",BAUSCH HEALTH AMERICAS,matched,029955,BAUSCH HEALTH COMPANIES INC,1,False,2,2014-09-03,2016-11-03,True,False,False,True,Devices,ct_override_windowed,1900,2099,Bausch Health Companies; fixes fuzzy mismatch
Baxalta US Inc.,BAXALTA,matched,022734,BAXALTA INC,1,False,2,2009-04-14,2010-08-03,False,False,True,True,Biologics,exact_normalized,1900,2099,
Bayer AG,BAYER,matched,100080,BAYER AG,1,False,2,2009-08-05,2017-11-14,False,True,False,True,Drugs,exact_normalized,1900,2099,
Bebida Beverage Company,BEBIDA BEVERAGE,matched,153669,BEBIDA BEVERAGE CO,1,False,1,2015-03-04,2015-03-04,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
Beckman Coulter Inc.,BECKMAN COULTER,matched,015106,BECKMAN COULTER INC,1,False,2,2010-06-21,2011-08-01,True,False,False,True,Devices,exact_normalized,1900,2099,
"Beckman Coulter, Inc.",BECKMAN COULTER,matched,015106,BECKMAN COULTER INC,1,False,2,2011-11-01,2024-03-15,True,False,False,True,Devices,exact_normalized,1900,2099,
Becton Dickinson & Company,BECTON DICKINSON AND,matched,002111,BECTON DICKINSON & CO,1,False,2,2009-05-11,2018-01-11,True,False,False,True,Devices,exact_normalized,1900,2099,
"Best Vascular, Inc",BEST VASCULAR,matched,029378,BEST INC,1,False,1,2009-03-11,2009-03-11,True,False,False,True,Devices,ct_dropped_device,1900,2099,CT device-sponsor list (conm: BEST INC)
"Beta Bionics, Inc.",BETA BIONICS,matched,045785,BETA BIONICS INC,1,False,1,2026-01-29,2026-01-29,True,False,False,True,Devices,exact_normalized,1900,2099,
Bio-Rad Laboratories GmbH,BIO RAD LABORATORIES,matched,002220,BIO-RAD LABORATORIES INC,1,True,1,2015-09-03,2015-09-03,True,False,False,True,Devices,exact_normalized,1900,2099,
BioReliance Corporation,BIORELIANCE,matched,065169,BIORELIANCE CORP,1,False,1,2009-01-05,2009-01-05,False,False,True,True,Biologics,exact_normalized,1900,2099,
"Biogenix USA, LLC",BIOGENIX,matched,002227,BIOGENIX INC,1,False,1,2014-12-11,2014-12-11,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
Biomerieux Inc,BIOMERIEUX,matched,270578,BIOMERIEUX SA,1,True,1,2014-10-10,2014-10-10,True,False,False,True,Devices,exact_normalized,1900,2099,
"Biomet, Inc.",BIOMET,matched,002230,BIOMET INC,1,False,2,2010-07-27,2018-08-24,True,False,False,True,Devices,exact_normalized,1900,2099,
Boehringer Ingelheim Pharma GmbH & Co. KG,BOEHRINGER INGELHEIM PHARMA AND KG,resolved_unlisted_parent,,,1,False,1,2013-05-06,2013-05-06,False,True,False,True,Drugs,ct_override_windowed,1900,2099,Privately held German firm
Boston Scientific Corporation,BOSTON SCIENTIFIC,matched,025279,BOSTON SCIENTIFIC CORP,1,False,1,2014-04-10,2014-04-10,True,False,False,True,Devices,exact_normalized,1900,2099,
Bristol-Myers Squibb Holdings Pharma Ltd. Liability Company,BRISTOL MYERS SQUIBB PHARMA LIABILITY,matched,002403,BRISTOL-MYERS SQUIBB CO,1,True,1,2010-09-30,2010-09-30,False,True,False,True,Drugs,parent_prefix,1900,2099,parent prefix: BRISTOL MYERS SQUIBB
Btl Industries Inc,BTL INDUSTRIES,matched,001955,BTK INDUSTRIES INC,1,False,1,2010-03-12,2010-03-12,True,False,False,True,Devices,ct_fuzzy,1900,2099,"CT crosswalk (fuzzy_extended, score 93)"
"Btl Industries, Inc",BTL INDUSTRIES,matched,001955,BTK INDUSTRIES INC,1,False,1,2010-03-12,2010-03-12,True,False,False,True,Devices,ct_fuzzy,1900,2099,"CT crosswalk (fuzzy_extended, score 93)"
Burzynski Research Institute,BURZYNSKI RESEARCH INSTITUTE,matched,022401,BURZYNSKI RESEARCH INSTITUTE,1,False,1,2013-12-03,2013-12-03,False,True,False,True,Drugs,exact_normalized,1900,2099,
"C. R. Bard, Inc.",C R BARD,matched,002044,BARD (C.R.) INC,1,False,1,2015-07-13,2015-07-13,True,False,False,True,Devices,ct_dropped_device,1900,2099,CT device-sponsor list (conm: BARD (C.R.) INC)
C.R. Bard Inc.,C R BARD,matched,002044,BARD (C.R.) INC,1,False,1,2015-07-13,2015-07-13,True,False,False,True,Devices,ct_dropped_device,1900,2099,CT device-sponsor list (conm: BARD (C.R.) INC)
"CAO Group, Inc.",CAO,matched,063951,NCO GROUP INC,1,False,1,2018-10-15,2018-10-15,True,False,False,True,Devices,ct_dropped_device,1900,2099,CT device-sponsor list (conm: NCO GROUP INC)
CHEWY INC,CHEWY,matched,035287,CHEWY INC,1,False,1,2023-11-30,2023-11-30,False,False,False,False,Veterinary,exact_normalized,1900,2099,
CUE HEALTH INC,CUE HEALTH,matched,039563,CUE HEALTH INC,1,False,1,2024-05-09,2024-05-09,True,False,False,True,Devices,exact_normalized,1900,2099,
CURRAX PHARMACEUTICALS LLC,CURRAX PHARMACEUTICALS,resolved_unlisted_parent,,,1,False,1,2020-09-22,2020-09-22,False,True,False,True,Drugs,ct_override_windowed,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 11929 (ACURA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED
CVS Health,CVS HEALTH,matched,007241,CVS HEALTH CORP,1,False,2,2010-09-27,2023-09-11,False,True,False,True,Drugs,exact_normalized,1900,2099,
Calavo Growers Inc,CALAVO GROWERS,matched,147708,CALAVO GROWERS INC,1,False,1,2024-10-25,2024-10-25,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
"Caliber Imaging & Diagnostics,",CALIBER IMAGING AND DIAGNOSTICS,matched,189363,CALIBER IMAGING & DIAGNOSTIC,1,False,1,2015-01-08,2015-01-08,True,False,False,True,Devices,exact_normalized,1900,2099,
Cantronic Systems Inc.,CANTRONIC SYSTEMS,matched,150760,CANTRONIC SYSTEMS INC,1,False,1,2021-03-04,2021-03-04,True,False,False,True,Devices,exact_normalized,1900,2099,
"Cardinal Health 200, LLC",CARDINAL HEALTH 200,matched,002751,CARDINAL HEALTH INC,1,True,1,2024-04-24,2024-04-24,True,False,False,True,Devices,parent_prefix,1900,2099,parent prefix: CARDINAL HEALTH
Carey USA LLC,CAREY,matched,064822,CAREY INTERNATIONAL INC,1,False,1,2020-06-10,2020-06-10,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
Cel-Sci Corporation,CEL SCI,matched,012711,CEL-SCI CORP,1,False,1,2011-08-05,2011-08-05,False,True,False,True,Drugs,exact_normalized,1900,2099,
Celltex Therapeutics Corporation,CELLTEX THERAPEUTICS,resolved_unlisted_parent,,,1,False,1,2012-09-24,2012-09-24,False,False,True,True,Biologics,ct_override_windowed,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 179598 (CELLDEX THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED
Celltrion Inc.,CELLTRION,matched,275309,,1,False,1,2018-01-29,2018-01-29,False,True,False,True,Drugs,ct_override,1900,2099,CT crosswalk (override)
Celularity Inc,CELULARITY,matched,039277,CELULARITY INC,1,False,1,2025-12-01,2025-12-01,False,False,True,True,Biologics,exact_normalized,1900,2099,
Cepheid Ab,CEPHEID,matched,136804,CEPHEID INC,1,True,1,2015-07-23,2015-07-23,True,False,False,True,Devices,exact_normalized,1900,2099,
Chattem Inc,CHATTEM,matched,002950,CHATTEM INC,1,False,1,2011-01-28,2011-01-28,False,True,False,True,Drugs,exact_normalized,1900,2099,
"China Resources Sanjiu Medical & Pharmaceutical Co., Ltd.",CHINA RESOURCES SANJIU MEDICAL AND PHARMACEUTICAL,matched,025699,MEDICAL RESOURCES INC,1,False,1,2014-09-19,2014-09-19,False,True,False,True,Drugs,ct_dropped_device,1900,2099,CT device-sponsor list (conm: MEDICAL RESOURCES INC)
Church & Dwight Inc,CHURCH AND DWIGHT,matched,003026,CHURCH & DWIGHT INC,1,False,1,2011-05-16,2011-05-16,True,False,False,True,Devices,exact_normalized,1900,2099,
Clorox Co (The),CLOROX,matched,003121,CLOROX CO/DE,1,False,1,2016-12-15,2016-12-15,False,True,False,True,Drugs,exact_normalized,1900,2099,
Coastal Contacts Inc.,COASTAL CONTACTS,matched,266196,COASTAL CONTACTS INC,1,False,1,2013-12-11,2013-12-11,True,False,False,True,Devices,exact_normalized,1900,2099,
ConAgra Brands Inc,CONAGRA BRANDS,matched,003362,CONAGRA BRANDS INC,1,False,1,2013-09-20,2013-09-20,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
ConMed Corporation,CONMED,matched,013623,CONMED CORP,1,False,1,2014-01-29,2014-01-29,True,False,False,True,Devices,exact_normalized,1900,2099,
Conair LLC,CONAIR,matched,013148,CONAIR CORP/DE,1,False,1,2013-08-12,2013-08-12,True,False,False,True,Devices,exact_normalized,1900,2099,
Conformis Inc.,CONFORMIS,matched,024084,CONFORMIS INC,1,False,1,2019-12-10,2019-12-10,True,False,False,True,Devices,exact_normalized,1900,2099,
"ConvaTec, Inc",CONVATEC,matched,322728,CONVATEC GROUP PLC,1,True,1,2013-05-24,2013-05-24,True,False,False,True,Devices,exact_normalized,1900,2099,
Cook Incorporated,COOK,matched,003493,COOK INTERNATIONAL INC,1,False,1,2014-09-16,2014-09-16,True,False,False,True,Devices,exact_normalized,1900,2099,
Coram Healthcare Corp. of Indiana,CORAM HEALTHCARE OF INDIANA,matched,030442,CORAM HEALTHCARE CORP,1,True,1,2015-08-11,2015-08-11,False,True,False,True,Drugs,parent_prefix,1900,2099,parent prefix: CORAM HEALTHCARE
Cordis LLC,CORDIS,matched,003520,CORDIS CORP,1,False,1,2011-02-16,2011-02-16,True,False,False,True,Devices,exact_normalized,1900,2099,
"Cosco International, Inc.",COSCO,matched,003544,COSCO INC,1,False,1,2025-04-14,2025-04-14,False,True,False,True,Drugs,exact_normalized,1900,2099,
Covalon Technologies Ltd.,COVALON TECHNOLOGIES,matched,161840,COVALON TECHNOLOGIES LTD,1,False,1,2021-05-06,2021-05-06,False,True,False,True,Drugs,exact_normalized,1900,2099,
"Covidien, LP",COVIDIEN,matched,177264,COVIDIEN PLC,1,True,1,2012-06-14,2012-06-14,True,False,False,True,Devices,exact_normalized,1900,2099,
"Craftmatic Industries, Inc.",CRAFTMATIC INDUSTRIES,matched,012737,CRAFTMATIC INDUSTRIES INC,1,False,1,2015-02-17,2015-02-17,True,False,False,True,Devices,exact_normalized,1900,2099,
Criticare Systems (Malaysia) Sdn. Bhd.,CRITICARE SYSTEMS MALAYSIA SDN BHD,matched,013332,CRITICARE SYSTEMS INC,1,True,1,2015-01-15,2015-01-15,True,False,False,True,Devices,parent_prefix,1900,2099,parent prefix: CRITICARE SYSTEMS
"Cutera, Inc.",CUTERA,matched,146648,CUTERA INC,1,False,2,2012-07-09,2022-11-10,True,False,False,True,Devices,exact_normalized,1900,2099,
"CytoDyn, Inc.",CYTODYN,matched,164720,CYTODYN INC,1,False,1,2022-02-11,2022-02-11,False,True,False,True,Drugs,exact_normalized,1900,2099,
"DEWMAR INTERNATIONAL BMC, INC",DEWMAR BMC,matched,006014,DEWMAR INTL BMC INC,1,False,1,2014-03-27,2014-03-27,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
DSM - Firmenich,DSM FIRMENICH,matched,102454,DSM FIRMENICH AG,1,False,1,2019-10-11,2019-10-11,False,False,False,False,Veterinary,exact_normalized,1900,2099,
"Darling Ingredients, Inc.",DARLING INGREDIENTS,matched,030651,DARLING INGREDIENTS INC,1,False,1,2019-11-18,2019-11-18,False,False,False,False,Veterinary,exact_normalized,1900,2099,
Datascope Corp.,DATASCOPE,matched,003786,DATASCOPE CORP,1,False,2,2018-09-11,2019-02-06,True,False,False,True,Devices,exact_normalized,1900,2099,
"DePuy Orthopaedics, Inc.",DEPUY ORTHOPAEDICS,matched,063905,DEPUY INC,1,False,2,2010-08-19,2011-12-08,True,False,False,True,Devices,ct_dropped_device,1900,2099,CT device-sponsor list (conm: DEPUY INC)
"Delta Air Lines, Inc.",DELTA AIR LINES,matched,003851,DELTA AIR LINES INC,1,False,1,2011-04-13,2011-04-13,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
Dentsply Sirona Inc.,DENTSPLY SIRONA,matched,013700,DENTSPLY SIRONA INC,1,False,1,2013-04-11,2013-04-11,True,False,False,True,Devices,exact_normalized,1900,2099,
Dentsply Sirona Preventive,DENTSPLY SIRONA PREVENTIVE,matched,013700,DENTSPLY SIRONA INC,1,True,1,2011-01-04,2011-01-04,False,True,False,True,Drugs,parent_prefix,1900,2099,parent prefix: DENTSPLY SIRONA
"Dexcom, Inc.",DEXCOM,matched,162887,DEXCOM INC,1,False,3,2010-05-21,2025-03-04,True,False,False,True,Devices,exact_normalized,1900,2099,
Diamond Foods LLC,DIAMOND FOODS,matched,163627,DIAMOND FOODS INC,1,False,1,2010-02-22,2010-02-22,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
"Dr Pepper/Seven Up, Inc.",DR PEPPER SEVEN UP,matched,015273,DR PEPPER/SEVEN UP,1,False,1,2010-08-31,2010-08-31,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
Dr. Reddy's Laboratories Limited,DR REDDY S LABORATORIES,matched,223098,DR REDDY'S LABORATORIES LTD,1,False,1,2015-11-05,2015-11-05,False,True,False,True,Drugs,exact_normalized,1900,2099,
Dr. Reddy's Laboratories Limited CTO VI,DR REDDY S LABORATORIES CTO VI,matched,223098,DR REDDY'S LABORATORIES LTD,1,True,1,2015-11-05,2015-11-05,False,True,False,True,Drugs,parent_prefix,1900,2099,parent prefix: DR REDDY S LABORATORIES
Dr. Reddy's Laboratories Ltd.,DR REDDY S LABORATORIES,matched,223098,DR REDDY'S LABORATORIES LTD,1,False,1,2015-11-05,2015-11-05,False,True,False,True,Drugs,exact_normalized,1900,2099,
"Draeger Medical Systems, Inc.",DRAEGER MEDICAL SYSTEMS,resolved_unlisted_parent,,,1,False,1,2020-01-17,2020-01-17,True,False,False,True,Devices,ct_override_windowed,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED
"Dreyer's Grand Ice Cream, Inc.",DREYER S GRAND ICE CREAM,matched,004078,DREYER'S GRAND ICE CRM HLDGS,1,False,1,2010-02-22,2010-02-22,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
EAGLE ENERGY USA INC,EAGLE ENERGY,matched,185970,EAGLE ENERGY INC,1,False,1,2021-12-01,2021-12-01,False,True,False,True,Drugs,exact_normalized,1900,2099,
EFT Inc,EFT,matched,106554,EFT HOLDINGS INC,1,False,1,2009-08-19,2009-08-19,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
"Edwards Lifesciences, LLC",EDWARDS LIFESCIENCES,matched,133366,EDWARDS LIFESCIENCES CORP,1,False,2,2010-03-01,2013-05-24,True,False,False,True,Devices,exact_normalized,1900,2099,
"Eisai, Inc.",EISAI,resolved_unlisted_parent,,,1,False,1,2009-11-06,2009-11-06,False,True,False,True,Drugs,ct_override_windowed,1900,2099,Japanese (ESALY ADR not in CRSP link)
Elevate,ELEVATE,matched,182908,ELEVATE INC,1,False,1,2025-09-09,2025-09-09,False,True,False,True,Drugs,exact_normalized,1900,2099,
Eli Lilly & Company,ELI LILLY AND,matched,006730,LILLY (ELI) & CO,1,False,3,2025-09-09,2025-09-09,False,True,False,True,Drugs,exact_normalized,1900,2099,
Encompass Group LLC,ENCOMPASS,matched,031283,ENCOMPASS HOLDINGS INC,1,False,1,2010-06-03,2010-06-03,True,False,False,True,Devices,exact_normalized,1900,2099,
Entellus Medical Inc.,ENTELLUS MEDICAL,matched,022667,ENTELLUS MEDICAL INC,1,False,1,2017-04-06,2017-04-06,True,False,False,True,Devices,exact_normalized,1900,2099,
Entia Biosciences Inc,ENTIA BIOSCIENCES,matched,178743,ENTIA BIOSCIENCES INC,1,False,1,2021-01-06,2021-01-06,False,False,False,False,Food/Cosmetics,exact_normalized,1900,2099,
