FEI Number,Legal Name,State,Country/Area,Product Type,Action Taken Date,Action Type,Case/Injunction ID,action_taken_date,company_name_clean,is_warning_letter,is_device,is_drug,is_biologic,is_medtech_pharma
3007661929,Herbal Remedies,New York,United States,Food/Cosmetics,07/22/2009,Warning Letter,66705,2009-07-22,Herbal Remedies,True,False,False,False,False
3007646563,Tcmhelpme,Minnesota,United States,Drugs,07/22/2009,Warning Letter,68783,2009-07-22,Tcmhelpme,True,False,True,False,True
3002119179,Peregrina Cheese Corp.,New York,United States,Food/Cosmetics,07/20/2009,Injunction,19,2009-07-20,Peregrina Cheese Corp.,False,False,False,False,False
3007277405,"Phillips, Robert A.",South Carolina,United States,Devices,07/20/2009,Warning Letter,66465,2009-07-20,"Phillips, Robert A.",True,True,False,False,True
3006469854,"Gourmet Cuisine, Inc.",Texas,United States,Food/Cosmetics,07/17/2009,Warning Letter,61123,2009-07-17,"Gourmet Cuisine, Inc.",True,False,False,False,False
1021417,Bi-County Farm Bureau Coop Assn Inc,Kentucky,United States,Veterinary,07/17/2009,Seizure,65824,2009-07-17,Bi-County Farm Bureau Coop Assn Inc,False,False,False,False,False
3007661989,Jeff Thurston,Pennsylvania,United States,Food/Cosmetics,07/16/2009,Warning Letter,66708,2009-07-16,Jeff Thurston,True,False,False,False,False
3006528529,Mgs Soapopular,Connecticut,United States,Drugs,07/15/2009,Warning Letter,68743,2009-07-15,Mgs Soapopular,True,False,True,False,True
1642816,Perezident Peppers Inc,Texas,United States,Food/Cosmetics,07/14/2009,Warning Letter,62703,2009-07-14,Perezident Peppers Inc,True,False,False,False,False
1415939,Abbott Laboratories,Illinois,United States,Drugs,07/14/2009,Warning Letter,64763,2009-07-14,Abbott Laboratories,True,False,True,False,True
3005750915,Van Raay Dairy Farm,Ohio,United States,Veterinary,07/14/2009,Warning Letter,67403,2009-07-14,Van Raay Dairy Farm,True,False,False,False,False
3003809131,"The Maros Group, LLC",Arizona,United States,Food/Cosmetics,07/13/2009,Warning Letter,63184,2009-07-13,"The Maros Group, LLC",True,False,False,False,False
3004613855,"Meda Pharmaceuticals, Inc",Georgia,United States,Drugs,07/13/2009,Warning Letter,65044,2009-07-13,"Meda Pharmaceuticals, Inc",True,False,True,False,True
3003419233,"Hillcrest Bakery, Inc.",Washington,United States,Food/Cosmetics,07/10/2009,Warning Letter,63763,2009-07-10,"Hillcrest Bakery, Inc.",True,False,False,False,False
3007661936,"Allera Health Products, Inc.",Florida,United States,Food/Cosmetics,07/10/2009,Warning Letter,66703,2009-07-10,"Allera Health Products, Inc.",True,False,False,False,False
3007661922,Universal Health Sciences,Nevada,United States,Food/Cosmetics,07/10/2009,Warning Letter,66704,2009-07-10,Universal Health Sciences,True,False,False,False,False
3007270332,Balance Ayurvedic Products,California,United States,Food/Cosmetics,07/09/2009,Warning Letter,45838,2009-07-09,Balance Ayurvedic Products,True,False,False,False,False
3004048628,CORPORACION LOS HERMANOS,Puerto Rico,United States,Food/Cosmetics,07/08/2009,Warning Letter,55342,2009-07-08,CORPORACION LOS HERMANOS,True,False,False,False,False
2921309,Bazaar Of India,California,United States,Drugs,07/07/2009,Warning Letter,45841,2009-07-07,Bazaar Of India,True,False,True,False,True
3018596,Northwest Fresh Foods LLC,Oregon,United States,Food/Cosmetics,07/06/2009,Warning Letter,55982,2009-07-06,Northwest Fresh Foods LLC,True,False,False,False,False
2311197,Christus St. Patrick Hospital IRB,Louisiana,United States,Devices,07/02/2009,Warning Letter,63684,2009-07-02,Christus St. Patrick Hospital IRB,True,True,False,False,True
3002807196,Gambro Dasco SPA Monitors Division,-,Italy,Devices,07/02/2009,Warning Letter,63984,2009-07-02,Gambro Dasco SPA Monitors Division,True,True,False,False,True
3002806727,Gambro Renal Products S.A. de C.V.,-,Mexico,Devices,07/02/2009,Warning Letter,64043,2009-07-02,Gambro Renal Products S.A. de C.V.,True,True,False,False,True
2023825,"Electro-tech Products, Inc.",California,United States,Devices,07/01/2009,Warning Letter,55282,2009-07-01,"Electro-tech Products, Inc.",True,True,False,False,True
3004292058,"Purity Springs Bottling, Inc",Georgia,United States,Food/Cosmetics,07/01/2009,Warning Letter,55323,2009-07-01,"Purity Springs Bottling, Inc",True,False,False,False,False
3007455800,Thomas K Jones MD - Clinical Investigator,Washington,United States,Devices,07/01/2009,Warning Letter,56623,2009-07-01,Thomas K Jones MD - Clinical Investigator,True,True,False,False,True
3007289354,Rock Creek Dairy #3,Idaho,United States,Veterinary,07/01/2009,Warning Letter,57142,2009-07-01,Rock Creek Dairy #3,True,False,False,False,False
1000028821,"R & Z Ventures, Inc.",Florida,United States,Food/Cosmetics,07/01/2009,Warning Letter,60203,2009-07-01,"R & Z Ventures, Inc.",True,False,False,False,False
3024820,"Northwest Tofu, Inc.",Washington,United States,Food/Cosmetics,07/01/2009,Warning Letter,64503,2009-07-01,"Northwest Tofu, Inc.",True,False,False,False,False
3003397735,"J-Tel, Inc      dba Buxton Foods",North Dakota,United States,Food/Cosmetics,06/30/2009,Warning Letter,55862,2009-06-30,"J-Tel, Inc dba Buxton Foods",True,False,False,False,False
3004249747,Pearl Banyan Capital LLC,New Mexico,United States,Food/Cosmetics,06/29/2009,Warning Letter,45840,2009-06-29,Pearl Banyan Capital LLC,True,False,False,False,False
3004620275,Staten Island University Hospital IRB,New York,United States,Devices,06/29/2009,Warning Letter,61485,2009-06-29,Staten Island University Hospital IRB,True,True,False,False,True
3007612442,Sylvane Inc.,Georgia,United States,Devices,06/29/2009,Warning Letter,64063,2009-06-29,Sylvane Inc.,True,True,False,False,True
3004844416,FAVPEP LLC. dba Queenmar LLC.,Florida,United States,Food/Cosmetics,06/26/2009,Warning Letter,57742,2009-06-26,FAVPEP LLC. dba Queenmar LLC.,True,False,False,False,False
3007220373,"Gordon, Mark, M.D.",New York,United States,Drugs,06/26/2009,Warning Letter,58282,2009-06-26,"Gordon, Mark, M.D.",True,False,True,False,True
1627487,Abbott Medical,Texas,United States,Devices,06/26/2009,Warning Letter,64083,2009-06-26,Abbott Medical,True,True,False,False,True
1221924,Gaven Medical,Connecticut,United States,Devices,06/26/2009,Warning Letter,64163,2009-06-26,Gaven Medical,True,True,False,False,True
1627487,Abbott Medical,Texas,United States,Devices,06/26/2009,Warning Letter,135792,2009-06-26,Abbott Medical,True,True,False,False,True
3007083710,Laboratoire Atlas Inc.,-,Canada,Drugs,06/25/2009,Warning Letter,53422,2009-06-25,Laboratoire Atlas Inc.,True,False,True,False,True
3004887011,IntelSource Group Inc dba Electro Medical Technologies LLC,Arizona,United States,Devices,06/25/2009,Warning Letter,56123,2009-06-25,IntelSource Group Inc dba Electro Medical Technologies LLC,True,True,False,False,True
3002808376,"Apotex, Inc.",-,Canada,Drugs,06/25/2009,Warning Letter,58142,2009-06-25,"Apotex, Inc.",True,False,True,False,True
3007212949,Chesterfield Dairy,Ohio,United States,Veterinary,06/25/2009,Warning Letter,59402,2009-06-25,Chesterfield Dairy,True,False,False,False,False
3011304354,"Sun Pharmaceutical Industries, LTD.",Michigan,United States,Drugs,06/25/2009,Seizure,60765,2009-06-25,"Sun Pharmaceutical Industries, LTD.",False,False,True,False,True
2128643,"H & P Industries, Inc.",Wisconsin,United States,Drugs,06/24/2009,Warning Letter,56442,2009-06-24,"H & P Industries, Inc.",True,False,True,False,True
2016096,"Apotheca, Inc.",Arizona,United States,Drugs,06/23/2009,Warning Letter,55784,2009-06-23,"Apotheca, Inc.",True,False,True,False,True
3005984610,"Nutronix Revolution, Inc.",Virginia,United States,Food/Cosmetics,06/23/2009,Warning Letter,61147,2009-06-23,"Nutronix Revolution, Inc.",True,False,False,False,False
3005834598,Island Supplements,Texas,United States,Food/Cosmetics,06/23/2009,Warning Letter,64326,2009-06-23,Island Supplements,True,False,False,False,False
3006145876,Circle T Dairy LLC,Texas,United States,Veterinary,06/22/2009,Warning Letter,60924,2009-06-22,Circle T Dairy LLC,True,False,False,False,False
3008311776,LAS BOTANAS MEXICAN SNACKS,California,United States,Food/Cosmetics,06/18/2009,Warning Letter,57843,2009-06-18,LAS BOTANAS MEXICAN SNACKS,True,False,False,False,False
2024261,Natren Inc.,California,United States,Food/Cosmetics,06/18/2009,Warning Letter,63924,2009-06-18,Natren Inc.,True,False,False,False,False
2014586,Niitakaya USA Inc,California,United States,Food/Cosmetics,06/17/2009,Warning Letter,51882,2009-06-17,Niitakaya USA Inc,True,False,False,False,False
