lead_sponsor_name,gvkey,start_year,end_year,note,sponsor_norm
"Otsuka Pharmaceutical Development & Commercialization, Inc.",UNMAPPED,1900,2099,Otsuka US subsidiary,otsuka pharmaceutical development and commercialization inc
"Otsuka Pharmaceutical Co., Ltd.",UNMAPPED,1900,2099,Otsuka Japan,otsuka pharmaceutical co ltd
Otsuka Beijing Research Institute,UNMAPPED,1900,2099,Otsuka China subsidiary,otsuka beijing research institute
"Merck KGaA, Darmstadt, Germany",UNMAPPED,1900,2099,German Merck (distinct from US Merck),merck kgaa darmstadt germany
Merck KGaA,UNMAPPED,1900,2099,German Merck,merck kgaa
"EMD Serono Research & Development Institute, Inc.",UNMAPPED,1900,2099,Merck KGaA US subsidiary; fixes fuzzy mismatch to RESEARCH INC,emd serono research and development institute inc
EMD Serono,UNMAPPED,1900,2099,Merck KGaA US subsidiary,emd serono
UCB Pharma,UNMAPPED,1900,2099,Belgian (UCBJY ADR not in CRSP link),ucb pharma
UCB Biopharma SRL,UNMAPPED,1900,2099,UCB subsidiary,ucb biopharma srl
"UCB, Inc.",UNMAPPED,1900,2099,UCB subsidiary,ucb inc
Ferring Pharmaceuticals,UNMAPPED,1900,2099,Privately held Swiss,ferring pharmaceuticals
Galderma R&D,UNMAPPED,1900,2099,Galderma SA Swiss; recent IPO not in our link table,galderma r and d
Société des Produits Nestlé (SPN),UNMAPPED,1900,2099,Nestle subsidiary; Nestle SA not in CRSP link,societe des produits nestle spn
ViiV Healthcare,UNMAPPED,1900,2099,GSK/Pfizer/Shionogi joint venture not separately listed,viiv healthcare
Mundipharma Research Limited,UNMAPPED,1900,2099,Privately held; fixes fuzzy mismatch to RESEARCH INC,mundipharma research limited
Mundipharma Research GmbH & Co. KG,UNMAPPED,1900,2099,Privately held,mundipharma research gmbh and co kg
W.L.Gore & Associates,UNMAPPED,1900,2099,Privately held,w l gore and associates
"Jiangsu HengRui Medicine Co., Ltd.",UNMAPPED,1900,2099,Chinese; Shanghai-listed without US ADR,jiangsu hengrui medicine co ltd
Innovent Biologics (Suzhou) Co. Ltd.,UNMAPPED,1900,2099,Hong Kong-listed Chinese biotech,innovent biologics suzhou co ltd
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",UNMAPPED,1900,2099,Chinese subsidiary of Sino Biopharma,chia tai tianqing pharmaceutical group co ltd
Chong Kun Dang Pharmaceutical,UNMAPPED,1900,2099,Korean (KOSPI-listed),chong kun dang pharmaceutical
Daewoong Pharmaceutical Co. LTD.,UNMAPPED,1900,2099,Korean (KOSPI-listed),daewoong pharmaceutical co ltd
Hanmi Pharmaceutical Company Limited,UNMAPPED,1900,2099,Korean; fixes fuzzy mismatch to ANI PHARMACEUTICALS,hanmi pharmaceutical company limited
Chiesi Farmaceutici S.p.A.,UNMAPPED,1900,2099,Italian privately held; fixes fuzzy mismatch to A P S INC,chiesi farmaceutici s p a
Dompé Farmaceutici S.p.A,UNMAPPED,1900,2099,Italian privately held,dompe farmaceutici s p a
Philogen S.p.A.,UNMAPPED,1900,2099,Italian; fixes fuzzy mismatch to A P S INC,philogen s p a
Aziende Chimiche Riunite Angelini Francesco S.p.A,UNMAPPED,1900,2099,Italian privately held,aziende chimiche riunite angelini francesco s p a
Laboratorios Sophia S.A de C.V.,UNMAPPED,1900,2099,Mexican; fixes fuzzy mismatch to A S V INC,laboratorios sophia s a de c v
Laboratorios Silanes S.A. de C.V.,UNMAPPED,1900,2099,Mexican,laboratorios silanes s a de c v
Lee's Pharmaceutical Limited,UNMAPPED,1900,2099,HK-listed; fixes fuzzy mismatch to LEE PHARMACEUTICALS,lee s pharmaceutical limited
Torrent Pharmaceuticals Limited,UNMAPPED,1900,2099,Indian; fixes fuzzy mismatch to GW PHARMACEUTICALS,torrent pharmaceuticals limited
Mylan Pharmaceuticals Inc,007637,1900,2099,Mylan/Viatris; fixes fuzzy mismatch to AMYLIN PHARMACEUTICALS,mylan pharmaceuticals inc
Mylan Inc.,007637,1900,2099,Mylan/Viatris,mylan inc
Endo Pharmaceuticals,UNMAPPED,1900,2099,Endo International plc delisted 2022; not cleanly in link table; fixes fuzzy mismatch to ENZON,endo pharmaceuticals
"Par Pharmaceutical, Inc.",008333,1900,2099,Par Pharmaceutical Holdings; fixes fuzzy mismatch to ARS PHARMACEUTICALS,par pharmaceutical inc
Abbott Medical Devices,001078,1900,2099,Abbott Laboratories; fixes fuzzy mismatch to FIRST MEDICAL DEVICES,abbott medical devices
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,007637,2020,2099,Viatris post-merger (Nov 2020),pfizer s upjohn has merged with mylan to form viatris inc
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,008530,1900,2019,Pfizer Upjohn pre-Viatris-merger,pfizer s upjohn has merged with mylan to form viatris inc
"Phathom Pharmaceuticals, Inc.",035728,1900,2099,"Phathom Pharma (PHAT, CIK 1783183); fixes audit-suspect fuzzy to RA PHARMACEUTICALS gvkey 028470",phathom pharmaceuticals inc
Crinetics Pharmaceuticals Inc.,033723,1900,2099,"Crinetics (CRNX, CIK 1658247); fixes audit-suspect fuzzy to RA PHARMACEUTICALS gvkey 028470",crinetics pharmaceuticals inc
"Deciphera Pharmaceuticals, LLC",032383,1900,2099,"Deciphera (DCPH, CIK 1654151); fixes audit-suspect fuzzy to CIPHER PHARMACEUTICALS gvkey 260838",deciphera pharmaceuticals llc
"Deciphera Pharmaceuticals, Inc.",032383,1900,2099,"Deciphera (DCPH, CIK 1654151); fixes audit-suspect fuzzy",deciphera pharmaceuticals inc
"Tonix Pharmaceuticals, Inc.",190856,1900,2099,"Tonix Pharma Holdings (TNXP, CIK 1430306); fixes audit-suspect fuzzy",tonix pharmaceuticals inc
Tonix Pharmaceuticals Holding Corp.,190856,1900,2099,"Tonix Pharma Holdings (TNXP, CIK 1430306); fixes audit-suspect fuzzy",tonix pharmaceuticals holding corp
"Zai Lab (Shanghai) Co., Ltd.",032334,1900,2099,"Zai Lab Ltd (ZLAB, CIK 1704292); fixes audit-suspect fuzzy",zai lab shanghai co ltd
Zai Lab (Hong Kong) Limited,032334,1900,2099,"Zai Lab Ltd (ZLAB, CIK 1704292); fixes audit-suspect fuzzy",zai lab hong kong limited
"Sinovac Research and Development Co., Ltd.",150257,1900,2099,"Sinovac Biotech (SVA, CIK 1084201); fixes audit-suspect fuzzy to RESEARCH INC gvkey 009071",sinovac research and development co ltd
Sinovac Biotech (Hong Kong) Limited,150257,1900,2099,"Sinovac Biotech (SVA, CIK 1084201); fixes audit-suspect fuzzy",sinovac biotech hong kong limited
"Alexion Pharmaceuticals, Inc.",062263,1900,2099,"Alexion (ALXN, CIK 899866); acquired by AstraZeneca 2021 -- pre-acquisition gvkey",alexion pharmaceuticals inc
"Molecular Insight Pharmaceuticals, Inc.",166200,1900,2099,"Molecular Insight Pharma (MIPIQ, CIK 1340752); fixes audit-suspect fuzzy to RA PHARMACEUTICALS gvkey 028470",molecular insight pharmaceuticals inc
Colgate Palmolive,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 3170 (COLGATE-PALMOLIVE CO) flagged unreliable; no manual rescue available -- left UNMAPPED,colgate palmolive
Dompé Farmaceutici S.p.A,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,domp farmaceutici s p a
Nutricia Research,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,nutricia research
"Kowa Research Institute, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,kowa research institute inc
"Pearl Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 37827 (PEAR THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,pearl therapeutics inc
"Genuine Research Center, Egypt",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,genuine research center egypt
Danone Global Research & Innovation Center,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,danone global research and innovation center
Integrative Skin Science and Research,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,integrative skin science and research
Sun Pharma Advanced Research Company Limited,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,sun pharma advanced research company limited
Dizal Pharmaceuticals,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 32395 (ADIAL PHARMACEUTICALS) flagged unreliable; no manual rescue available -- left UNMAPPED,dizal pharmaceuticals
Cook Research Incorporated,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,cook research incorporated
Fidia Farmaceutici s.p.a.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,fidia farmaceutici s p a
Limacorporate S.p.a,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,limacorporate s p a
"Mondelēz International, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 142953 (MONDELEZ INTERNATIONAL INC) flagged unreliable; no manual rescue available -- left UNMAPPED,mondel z international inc
Hope Biosciences Research Foundation,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,hope biosciences research foundation
"Topcon Medical Systems, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,topcon medical systems inc
"Allist Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 145935 (CALLISTO PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,allist pharmaceuticals inc
Bioray Laboratories,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 2220 (BIO-RAD LABORATORIES INC) flagged unreliable; no manual rescue available -- left UNMAPPED,bioray laboratories
ZARS Pharma Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 20611 (ZS PHARMA INC) flagged unreliable; no manual rescue available -- left UNMAPPED,zars pharma inc
Duramed Research,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,duramed research
"Cara Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 23358 (CIDARA THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,cara therapeutics inc
"Oregon Research Behavioral Intervention Strategies, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,oregon research behavioral intervention strategies inc
Sihuan Pharmaceutical Holdings Group Ltd.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 43638 (SU GROUP HOLDINGS LTD) flagged unreliable; no manual rescue available -- left UNMAPPED,sihuan pharmaceutical holdings group ltd
Alfasigma S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,alfasigma s p a
Bharat Biotech International Limited,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 37612 (TH INTERNATIONAL LIMITED) flagged unreliable; no manual rescue available -- left UNMAPPED,bharat biotech international limited
Respirent Pharmaceuticals Co Ltd.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 16480 (RESPIRERX PHARMACEUTICALS) flagged unreliable; no manual rescue available -- left UNMAPPED,respirent pharmaceuticals co ltd
Olympus Corporation of the Americas,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 11151 (GROUP INC (THE)) flagged unreliable; no manual rescue available -- left UNMAPPED,olympus corporation of the americas
AGC Biologics S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,agc biologics s p a
Meda Pharmaceuticals,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 64717 (INMED PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,meda pharmaceuticals
"Arog Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 37495 (ARS PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,arog pharmaceuticals inc
Clinuvel Pharmaceuticals Limited,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 247881 (GW PHARMACEUTICALS LIMITED) flagged unreliable; no manual rescue available -- left UNMAPPED,clinuvel pharmaceuticals limited
"Tasly Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,tasly pharmaceuticals inc
"Toray Industries, Inc",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 10549 (THOR INDUSTRIES INC) flagged unreliable; no manual rescue available -- left UNMAPPED,toray industries inc
CooperVision International Limited (CVIL),UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 37612 (TH INTERNATIONAL LIMITED) flagged unreliable; no manual rescue available -- left UNMAPPED,coopervision international limited cvil
Transonic Systems Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,transonic systems inc
"Regenexx, LLC",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 23039 (REGENEX INC) flagged unreliable; no manual rescue available -- left UNMAPPED,regenexx llc
Pain Therapeutics,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 38333 (GAIN THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,pain therapeutics
RTI Surgical,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 8918 (RTI INC) flagged unreliable; no manual rescue available -- left UNMAPPED,rti surgical
"Aragon Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,aragon pharmaceuticals inc
"Kartos Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 36328 (KEROS THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,kartos therapeutics inc
Mati Therapeutics Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 160770 (MIRATI THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,mati therapeutics inc
"NEMA Research, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,nema research inc
HAL Allergy,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 5398 (HAL INC) flagged unreliable; no manual rescue available -- left UNMAPPED,hal allergy
"Arbor Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 13365 (BARR PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,arbor pharmaceuticals inc
"Sirion Therapeutics, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 62632 (SIRNA THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,sirion therapeutics inc
SOFAR S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,sofar s p a
NeuroBo Pharmaceuticals Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,neurobo pharmaceuticals inc
mAbxience Research S.L.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,mabxience research s l
Research Insight LLC,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,research insight llc
"Fujifilm Medical Systems USA, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,fujifilm medical systems usa inc
Neuren Pharmaceuticals Limited,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 247881 (GW PHARMACEUTICALS LIMITED) flagged unreliable; no manual rescue available -- left UNMAPPED,neuren pharmaceuticals limited
Apnimed,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1658 (ANIMED INC) flagged unreliable; no manual rescue available -- left UNMAPPED,apnimed
Janssen-Cilag S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,janssen-cilag s p a
sigma-tau i.f.r. S.p.A.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 1059 (A P S INC) flagged unreliable; no manual rescue available -- left UNMAPPED,sigma-tau i f r s p a
"Sirtris, a GSK Company",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 5180 (GSK PLC) flagged unreliable; no manual rescue available -- left UNMAPPED,sirtris a gsk company
"Idera Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 24908 (DURA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,idera pharmaceuticals inc
United Pharmaceuticals,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 10848 (UNIMED PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,united pharmaceuticals
"Inspire Medical Systems, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,inspire medical systems inc
USMARI Research & Innovation Centre,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,usmari research and innovation centre
"The Center for Applied Health Sciences, LLC",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 11151 (GROUP INC (THE)) flagged unreliable; no manual rescue available -- left UNMAPPED,the center for applied health sciences llc
"Eyegate Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,eyegate pharmaceuticals inc
Atos Medical AB,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 22308 (ATS MEDICAL INC) flagged unreliable; no manual rescue available -- left UNMAPPED,atos medical ab
"Sprout Pharmaceuticals, Inc",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,sprout pharmaceuticals inc
Noven Therapeutics,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 15803 (NOVELION THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,noven therapeutics
"Dynasplint Systems, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,dynasplint systems inc
"Rose Research Center, LLC",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 9071 (RESEARCH INC) flagged unreliable; no manual rescue available -- left UNMAPPED,rose research center llc
Aymes International Limited,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 37612 (TH INTERNATIONAL LIMITED) flagged unreliable; no manual rescue available -- left UNMAPPED,aymes international limited
Vantia Ltd,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 125863 (VANTIVA SA) flagged unreliable; no manual rescue available -- left UNMAPPED,vantia ltd
Fougera Pharmaceuticals Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 28470 (RA PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,fougera pharmaceuticals inc
"Carevive Systems, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25013 (PLC SYSTEMS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,carevive systems inc
Talaris Therapeutics Inc.,UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 25904 (ACLARIS THERAPEUTICS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,talaris therapeutics inc
"Tarsus Pharmaceuticals, Inc.",UNMAPPED,1900,2099,Audit-suspect fuzzy: original mapping to gvkey 37495 (ARS PHARMACEUTICALS INC) flagged unreliable; no manual rescue available -- left UNMAPPED,tarsus pharmaceuticals inc
